,Details_ID,Skills
0,Det_1,Adobe Experience Manager (AEM)
1,Det_2,Java
1,Det_2,Data Structures
1,Det_2,Python
1,Det_2,Golang
1,Det_2,Algorithms
2,Det_3,Informatica
2,Det_3,Informatica PowerCenter
3,Det_4,Salesforce
3,Det_4,Apex
3,Det_4,Lightning
3,Det_4,Visualforce
4,Det_5,Business Development
4,Det_5,Channel Sales
4,Det_5,Direct Sales
4,Det_5,Sales
5,Det_6,Python
5,Det_6,Machine Learning
5,Det_6,SQL
5,Det_6,AWS
5,Det_6,Java
6,Det_7,Python
6,Det_7,AWS
6,Det_7,SQL
7,Det_8,Node.js
8,Det_9,Business Analysis
8,Det_9,Documentation
8,Det_9,Microsoft Excel
8,Det_9,Power BI
8,Det_9,R
8,Det_9,SQL
8,Det_9,Tableau
9,Det_10,Java
9,Det_10,Spring
9,Det_10,Hibernate
10,Det_11,Corporate Strategy
10,Det_11,Customer Relationship
10,Det_11,Customer Service
10,Det_11,Key Account Management
10,Det_11,Retention Management
10,Det_11,Stakeholder Management
10,Det_11,Strategic Planning
11,Det_12,Payment Solutions
11,Det_12,Product Management
12,Det_13,Python
12,Det_13,SQL
13,Det_14,Java
13,Det_14,MariaDB
13,Det_14,Spring Boot
13,Det_14,J2EE
13,Det_14,MySQL
14,Det_15,Sales
14,Det_15,Business Development
14,Det_15,Graphic Design
14,Det_15,2D Animation
14,Det_15,UX Design
15,Det_16,Cloud Computing
15,Det_16,Networking
15,Det_16,Solution Architecture
15,Det_16,Virtualization
15,Det_16,AWS
15,Det_16,Azure
15,Det_16,Citrix XenServer
15,Det_16,Google Cloud
15,Det_16,Hyper-V
15,Det_16,OpenStack
15,Det_16,VMware ESX
15,Det_16,VMware vSphere
16,Det_17,Corporate Sales
16,Det_17,Distribution
16,Det_17,Lead Generation
16,Det_17,Sales
17,Det_18,Simulation
17,Det_18,Teamcenter
17,Det_18,Vismockup
18,Det_19,Machine Learning
18,Det_19,Python
18,Det_19,Statistics
18,Det_19,Computer Vision
18,Det_19,R
19,Det_20,Accounting
19,Det_20,Auditing
19,Det_20,Finance
19,Det_20,GST
19,Det_20,Income Tax
19,Det_20,MIS
19,Det_20,Sales Tax
19,Det_20,TDS
19,Det_20,Taxation
20,Det_21,Control-M
20,Det_21,Unix
20,Det_21,Mainframes
21,Det_22,C
21,Det_22,C++
21,Det_22,Networking
22,Det_23,Business Development
22,Det_23,Channel Sales
22,Det_23,Direct Sales
22,Det_23,Key Account Management
22,Det_23,Sales
23,Det_24,Java
23,Det_24,MQL
23,Det_24,ENOVIA
23,Det_24,TCL
23,Det_24,SQL
24,Det_25,AWS
24,Det_25,Terraform
24,Det_25,Jenkins
24,Det_25,Ansible
24,Det_25,Helm
25,Det_26,CSS
25,Det_26,HTML
25,Det_26,JavaScript
25,Det_26,React.js
26,Det_27,Apache Beam
26,Det_27,Java
26,Det_27,JavaScript
26,Det_27,Linux
26,Det_27,NoSQL
26,Det_27,React.js
26,Det_27,Spring
26,Det_27,Spring Boot
26,Det_27,Tomcat
26,Det_27,jQuery
27,Det_28,CRM
27,Det_28,Corporate Sales
27,Det_28,HLOOKUP
27,Det_28,Jira
27,Det_28,Key Account Management
27,Det_28,Sales
28,Det_29,Project Management
28,Det_29,Payment Solutions
28,Det_29,Information Security
28,Det_29,Banking Operations
29,Det_30,.NET
29,Det_30,Algorithms
29,Det_30,Architecture
29,Det_30,Data Structures
29,Det_30,HTTP
29,Det_30,Java
29,Det_30,Node.js
29,Det_30,Spring Boot
30,Det_31,Angular
30,Det_31,JavaScript
30,Det_31,Git
30,Det_31,HTML
30,Det_31,CSS
31,Det_32,IT Recruitment
31,Det_32,Non IT Recruitment
31,Det_32,Recruitment
32,Det_33,Corporate Sales
32,Det_33,International Sales
32,Det_33,Key Account Management
32,Det_33,LinkedIn Sales Navigator
33,Det_34,JavaScript
33,Det_34,React Native
33,Det_34,React.js
34,Det_35,iOS
34,Det_35,Objective-C
34,Det_35,Architecture
34,Det_35,Swift
34,Det_35,MVP
35,Det_36,Product Management
36,Det_37,Java
36,Det_37,Spring
37,Det_38,React Native
37,Det_38,React.js
37,Det_38,JavaScript
37,Det_38,HTML
37,Det_38,CSS
38,Det_39,JavaScript
38,Det_39,Angular
38,Det_39,React.js
38,Det_39,UX Design
39,Det_40,CSS
39,Det_40,HTML
39,Det_40,JavaScript
39,Det_40,React.js
40,Det_41,Java
40,Det_41,Spring Boot
40,Det_41,SOAP
40,Det_41,REST Assured
40,Det_41,Payment Solutions
41,Det_42,Product Management
41,Det_42,Fraud Management
41,Det_42,Agile
41,Det_42,Order Fulfillment
41,Det_42,Loyalty Programs
42,Det_43,Angular
42,Det_43,HTML
42,Det_43,CSS
42,Det_43,JavaScript
43,Det_44,Product Management
44,Det_45,Manual Testing
44,Det_45,Automation Testing
44,Det_45,Performance Testing
44,Det_45,Quality Assurance
44,Det_45,SDET
45,Det_46,General Management
45,Det_46,Strategic Planning
45,Det_46,Operations Management
45,Det_46,Program Management
46,Det_47,Manual Testing
46,Det_47,Selenium
46,Det_47,Mobile Apps Testing
46,Det_47,Java
46,Det_47,Agile
47,Det_48,Business Development
47,Det_48,Channel Sales
47,Det_48,Corporate Banking
47,Det_48,Corporate Loans
47,Det_48,Corporate Sales
47,Det_48,Corporate Strategy
47,Det_48,Key Account Management
47,Det_48,Marketing
47,Det_48,Microsoft Office
47,Det_48,Partnerships
47,Det_48,Product Marketing
47,Det_48,Retail Banking
47,Det_48,Retail Loans
47,Det_48,Retail Marketing
47,Det_48,Sales
47,Det_48,Stakeholder Management
47,Det_48,Strategic Planning
48,Det_49,Google Ads
48,Det_49,SEM
48,Det_49,SEO
49,Det_50,Business Development
49,Det_50,Corporate Sales
49,Det_50,Key Account Management
49,Det_50,Sales
50,Det_51,Investment Advisory
50,Det_51,Mutual Funds
50,Det_51,HNI
50,Det_51,Insurance Broking
50,Det_51,Fund Management
51,Det_52,React Native
51,Det_52,Flutter
51,Det_52,React.js
52,Det_53,Sales
52,Det_53,Sales Enablement
53,Det_54,Machine Learning
53,Det_54,NLP
53,Det_54,Python
53,Det_54,Data Analysis
53,Det_54,SQL
54,Det_55,C#
54,Det_55,C++
54,Det_55,Golang
54,Det_55,Java
54,Det_55,JavaScript
54,Det_55,Linux
54,Det_55,Python
54,Det_55,Unix
55,Det_56,.NET
55,Det_56,LINQ
55,Det_56,Git
56,Det_57,Oracle RAC
56,Det_57,PL-SQL
57,Det_58,Accounting
57,Det_58,CPA
57,Det_58,ERPS
57,Det_58,Finance
57,Det_58,Financial Reporting
57,Det_58,NetSuite
57,Det_58,Payroll Management
58,Det_59,Mapping
58,Det_59,NBFC
58,Det_59,Product Lifecycle Management
58,Det_59,Product Management
59,Det_60,Sales
59,Det_60,Direct Sales
59,Det_60,Customer Relationship
59,Det_60,Customer Service
59,Det_60,Corporate Sales
60,Det_61,Java
60,Det_61,Node.js
60,Det_61,Python
60,Det_61,Data Structures
60,Det_61,Algorithms
61,Det_62,Java
61,Det_62,React.js
61,Det_62,Spring
61,Det_62,Agile
61,Det_62,Data Structures
62,Det_63,CSS
62,Det_63,HTML
62,Det_63,JavaScript
62,Det_63,Angular
62,Det_63,Backbone.js
62,Det_63,Ember.js
62,Det_63,jQuery
62,Det_63,React.js
62,Det_63,Vue.js
63,Det_64,Java
63,Det_64,Angular
63,Det_64,Hibernate
63,Det_64,TypeScript
63,Det_64,JavaScript
64,Det_65,Hyperion Planning
65,Det_66,JavaScript
65,Det_66,Architecture
65,Det_66,Angular
65,Det_66,AWS
65,Det_66,Azure
66,Det_67,SEO
66,Det_67,Link Building
66,Det_67,Google Search Console
67,Det_68,Manual Testing
67,Det_68,Automation Testing
67,Det_68,Mobile Apps Testing
67,Det_68,Flutter
67,Det_68,Selenium
68,Det_69,Database Administration
68,Det_69,Database Development
68,Det_69,Distributed Systems
68,Det_69,jQuery
69,Det_70,Business Development
69,Det_70,Lead Generation
69,Det_70,Sales
70,Det_71,C++
70,Det_71,InDesign
71,Det_72,Sales
71,Det_72,Business Development
71,Det_72,Direct Sales
71,Det_72,Corporate Sales
71,Det_72,International Sales
72,Det_73,JavaScript
72,Det_73,Playwright
72,Det_73,Automation Testing
72,Det_73,Python
73,Det_74,Java
73,Det_74,React.js
73,Det_74,AWS
73,Det_74,Spring Boot
73,Det_74,Microservices
74,Det_75,2D Animation
74,Det_75,3D Animation
74,Det_75,Graphic Design
74,Det_75,Corel Draw
74,Det_75,Illustrator
74,Det_75,InDesign
74,Det_75,Photoshop
75,Det_76,Golang
75,Det_76,Java
75,Det_76,Python
75,Det_76,Ruby
75,Det_76,Hibernate
75,Det_76,Ruby on Rails
76,Det_77,React.js
76,Det_77,JavaScript
76,Det_77,HTML
76,Det_77,CSS
76,Det_77,TypeScript
77,Det_78,Product Management
77,Det_78,Product Lifecycle Management
77,Det_78,Finacle
77,Det_78,Payment Solutions
77,Det_78,Credit Evaluation
78,Det_79,Finance
78,Det_79,GTM
78,Det_79,Marketing
78,Det_79,Product Management
78,Det_79,Sales
78,Det_79,UX Design
79,Det_80,JavaScript
79,Det_80,React.js
79,Det_80,Node.js
79,Det_80,Angular
80,Det_81,Auditing
80,Det_81,Risk Assessment
80,Det_81,Vendor Management
81,Det_82,Angular
81,Det_82,ASP.NET
81,Det_82,.NET
81,Det_82,HTML
81,Det_82,CSS
82,Det_83,JavaScript
82,Det_83,React.js
82,Det_83,HTML
82,Det_83,CSS
82,Det_83,TypeScript
83,Det_84,PHP
83,Det_84,Wordpress
83,Det_84,HTML
83,Det_84,jQuery
83,Det_84,Jira
84,Det_85,.NET
84,Det_85,SQL Server
84,Det_85,jQuery
84,Det_85,C#
84,Det_85,Agile
85,Det_86,ServiceNow
85,Det_86,ITSM
86,Det_87,PKI
87,Det_88,Product Management
88,Det_89,Python
88,Det_89,AWS
88,Det_89,Maven
88,Det_89,Docker
88,Det_89,Spring Boot
89,Det_90,Node.js
89,Det_90,Python
90,Det_91,React.js
90,Det_91,Node.js
90,Det_91,Angular
90,Det_91,Python
90,Det_91,SQL
91,Det_92,DevOps
91,Det_92,Python
92,Det_93,.NET
92,Det_93,Angular
92,Det_93,React.js
92,Det_93,ASP.NET
92,Det_93,C#
93,Det_94,Sales
93,Det_94,Business Development
93,Det_94,Direct Sales
93,Det_94,Customer Interaction
93,Det_94,Customer Service
94,Det_95,Consumer Software
94,Det_95,Product Management
95,Det_96,Application Security
95,Det_96,Vulnerability Assessment
95,Det_96,Network Security
96,Det_97,Direct Sales
96,Det_97,Sales
96,Det_97,Branch Management
96,Det_97,Field Work
97,Det_98,iOS
97,Det_98,Objective-C
97,Det_98,Swift
97,Det_98,Cocoa
98,Det_99,JavaScript
98,Det_99,React.js
99,Det_100,Django
99,Det_100,Flask
99,Det_100,Python
100,Det_101,C++
100,Det_101,GUI
100,Det_101,Qt
100,Det_101,QML
101,Det_102,Brand Management
101,Det_102,Content Marketing
101,Det_102,Facebook Marketing
101,Det_102,KPI
101,Det_102,LinkedIn Marketing
101,Det_102,Social Media Marketing
102,Det_103,UX Design
102,Det_103,JavaScript
102,Det_103,React.js
102,Det_103,Progressive Web Apps
102,Det_103,HTML
103,Det_104,Product Management
103,Det_104,Credit Management
104,Det_105,Java
104,Det_105,Python
104,Det_105,Node.js
104,Det_105,Kotlin
105,Det_106,Algorithms
105,Det_106,C
105,Det_106,C++
105,Det_106,Computer Vision
105,Det_106,Data Structures
105,Det_106,Devicenet
105,Det_106,Hardware
105,Det_106,Image Processing
105,Det_106,Industrial Automation
105,Det_106,Microarrays
105,Det_106,Modbus
105,Det_106,Python
105,Det_106,RS232
105,Det_106,Visual Studio
106,Det_107,Angular
106,Det_107,Java
106,Det_107,Spring Boot
106,Det_107,SQL
106,Det_107,Spring
107,Det_108,Java
107,Det_108,AWS
107,Det_108,Spring Boot
107,Det_108,Data Structures
107,Det_108,Algorithms
108,Det_109,Machine Learning
108,Det_109,Google Cloud
108,Det_109,BigQuery
108,Det_109,Python
108,Det_109,MLOps
109,Det_110,React Native
109,Det_110,JavaScript
109,Det_110,React.js
109,Det_110,Android
109,Det_110,iOS
110,Det_111,Sales
110,Det_111,Business Development
111,Det_112,Distributed Systems
111,Det_112,Program Management
111,Det_112,Project Management
112,Det_113,Java
112,Det_113,Spring Boot
112,Det_113,Microservices
112,Det_113,React.js
112,Det_113,Multithreading
113,Det_114,SQL
113,Det_114,Data Analysis
113,Det_114,Python
113,Det_114,Tableau
113,Det_114,Statistics
114,Det_115,Oracle HCM
114,Det_115,Technical Consulting
114,Det_115,Functional Consulting
114,Det_115,Payroll Management
114,Det_115,HR Operations
115,Det_116,IT Support
115,Det_116,LAN
115,Det_116,DHCP
115,Det_116,Active Directory
116,Det_117,Business Development
116,Det_117,Channel Sales
116,Det_117,Corporate Sales
116,Det_117,Direct Sales
116,Det_117,International Sales
116,Det_117,Sales
117,Det_118,Big Data
117,Det_118,Cloud Computing
117,Det_118,Cloud Security
117,Det_118,Enterprise Software
117,Det_118,GTM
117,Det_118,Google Cloud
117,Det_118,Machine Learning
117,Det_118,Product Management
117,Det_118,Supply Chain Management
117,Det_118,UX Design
118,Det_119,Flutter
119,Det_120,C#
119,Det_120,C++
119,Det_120,Java
119,Det_120,Linux
119,Det_120,Oracle Access Manager
119,Det_120,Oracle Database
119,Det_120,PostgreSQL
119,Det_120,PowerShell
119,Det_120,Python
119,Det_120,Shell Scripting
119,Det_120,Windows
120,Det_121,SAP HANA
121,Det_122,Node.js
121,Det_122,React.js
121,Det_122,JavaScript
122,Det_123,Python
122,Det_123,Hive
122,Det_123,Spark
122,Det_123,ETL
122,Det_123,Spark SQL
123,Det_124,AWS
123,Det_124,MySQL
123,Det_124,API Testing
123,Det_124,MongoDB
123,Det_124,Spring Boot
124,Det_125,Customer Service
124,Det_125,Desktop Troubleshooting
124,Det_125,L2 Support
125,Det_126,Vue.js
125,Det_126,JavaScript
125,Det_126,HTML
125,Det_126,CSS
126,Det_127,SEO
126,Det_127,SEM
126,Det_127,SEMrush
126,Det_127,Jira
126,Det_127,Social Media Marketing
127,Det_128,Digital Marketing
127,Det_128,Google Ads
127,Det_128,Content Writing
128,Det_129,Python
128,Det_129,Big Data
128,Det_129,SQL
128,Det_129,Snowflake
128,Det_129,Airflow
129,Det_130,Angular
129,Det_130,Java
129,Det_130,Spring Boot
129,Det_130,Microservices
129,Det_130,SQL
130,Det_131,Playwright
130,Det_131,Automation Testing
130,Det_131,Python
130,Det_131,JavaScript
130,Det_131,Quality Assurance
131,Det_132,Java
131,Det_132,REST Assured
131,Det_132,SDET
131,Det_132,Microservices
131,Det_132,AWS
132,Det_133,International Sales
133,Det_134,.NET
134,Det_135,Hadoop
134,Det_135,Jenkins
134,Det_135,Kafka
134,Det_135,Spark
134,Det_135,Unix
135,Det_136,Machine Learning
135,Det_136,Python
135,Det_136,NLP
135,Det_136,Statistics
135,Det_136,Data Mining
136,Det_137,Sales
136,Det_137,Business Development
136,Det_137,Customer Relationship
136,Det_137,Corporate Sales
136,Det_137,Direct Sales
137,Det_138,Cloud Computing
137,Det_138,Hadoop
137,Det_138,Hive
137,Det_138,Java
137,Det_138,Jupyter
137,Det_138,Spark
138,Det_139,Credit Cards
138,Det_139,Product Management
139,Det_140,Business Development
139,Det_140,Counselling
139,Det_140,Education Counselling
139,Det_140,International Sales
139,Det_140,Sales
140,Det_141,React.js
140,Det_141,Spring Boot
140,Det_141,Microservices
140,Det_141,Java
140,Det_141,SQL
141,Det_142,Visual Design
141,Det_142,Graphic Design
141,Det_142,UX Design
141,Det_142,2D Animation
141,Det_142,Game Design
142,Det_143,API Testing
142,Det_143,Appium
142,Det_143,Cucumber
142,Det_143,JMeter
142,Det_143,Java
142,Det_143,Mobile Apps Testing
142,Det_143,Performance Testing
142,Det_143,Python
142,Det_143,Ruby
142,Det_143,SDET
142,Det_143,Selenium
142,Det_143,SoapUI
143,Det_144,Angular
143,Det_144,Java
143,Det_144,JavaScript
143,Det_144,Node.js
143,Det_144,React.js
143,Det_144,Spring
143,Det_144,jQuery
144,Det_145,Python
144,Det_145,SQL
145,Det_146,SQL
145,Det_146,Google Analytics
145,Det_146,Looker
145,Det_146,ETL
145,Det_146,Power BI
